date,2yr,5yr,10yr,30yr
2020-06-16,0.0496,0.0901,0.2356,0.5535
2020-06-17,0.0424,0.0963,0.2378,0.5583
2020-06-18,0.0445,0.0992,0.2287,0.5489
2020-06-19,0.0563,0.0947,0.2231,0.5422
2020-06-22,0.0592,0.085,0.2243,0.5532
2020-06-23,0.0597,0.0881,0.2294,0.5528
2020-06-24,0.0601,0.0918,0.2268,0.5673
2020-06-25,0.0498,0.0872,0.2252,0.5607
2020-06-26,0.0447,0.0952,0.212,0.57
2020-06-29,0.0324,0.099,0.2172,0.5651
2020-06-30,0.0362,0.1083,0.2207,0.5694
2020-07-01,0.0324,0.0929,0.2293,0.5661
2020-07-02,0.0401,0.0842,0.2372,0.5681
2020-07-03,0.0408,0.0917,0.2289,0.5658
2020-07-06,0.0399,0.0905,0.2309,0.5618
2020-07-07,0.0315,0.0939,0.2215,0.5684
2020-07-08,0.034,0.0819,0.2253,0.5624
2020-07-09,0.0454,0.0999,0.2235,0.5638
2020-07-10,0.0604,0.0983,0.2241,0.5545
2020-07-13,0.0729,0.1065,0.2284,0.5618
2020-07-14,0.0707,0.1054,0.2357,0.5598
2020-07-15,0.0556,0.1181,0.235,0.5616
2020-07-16,0.0302,0.1151,0.2347,0.559
2020-07-17,0.0294,0.1143,0.2242,0.5534
2020-07-20,0.0298,0.098,0.2276,0.5526
2020-07-21,0.0383,0.105,0.2196,0.5482
2020-07-22,0.0337,0.0994,0.2284,0.5476
2020-07-23,0.037,0.1041,0.2355,0.5485
2020-07-24,0.0442,0.0982,0.2386,0.5567
2020-07-27,0.0477,0.0944,0.2217,0.5687
2020-07-28,0.0474,0.0985,0.2078,0.571
2020-07-29,0.0368,0.1035,0.2144,0.5592
2020-07-30,0.0275,0.1129,0.228,0.55
2020-07-31,0.0257,0.1039,0.2319,0.5572
2020-08-03,0.0302,0.0987,0.2303,0.5623
2020-08-04,0.0473,0.101,0.2299,0.5724
2020-08-05,0.0502,0.0997,0.2346,0.5594
2020-08-06,0.0553,0.095,0.234,0.5652
2020-08-07,0.0438,0.0958,0.239,0.5592
2020-08-10,0.0368,0.1068,0.2343,0.5662
2020-08-11,0.0269,0.1143,0.2341,0.5667
2020-08-12,0.0257,0.1193,0.2248,0.5678
2020-08-13,0.0421,0.1204,0.2199,0.56
2020-08-14,0.0427,0.1217,0.2238,0.5609
2020-08-17,0.0501,0.1263,0.226,0.5578
2020-08-18,0.0348,0.123,0.2329,0.5654
2020-08-19,0.0434,0.1158,0.2248,0.5774
2020-08-20,0.041,0.1045,0.2207,0.5905
2020-08-21,0.0446,0.1078,0.2165,0.5921
2020-08-24,0.0393,0.1094,0.2227,0.5793
2020-08-25,0.034,0.1022,0.2283,0.5631
2020-08-26,0.0369,0.1117,0.2195,0.5531
2020-08-27,0.0347,0.116,0.2111,0.5602
2020-08-28,0.0317,0.1176,0.2171,0.5661
2020-08-31,0.0226,0.1109,0.2242,0.5699
2020-09-01,0.0256,0.1089,0.2161,0.5629
2020-09-02,0.0395,0.1113,0.2165,0.5618
2020-09-03,0.0466,0.1097,0.2209,0.5594
2020-09-04,0.045,0.1038,0.2294,0.5602
2020-09-07,0.0381,0.1071,0.2177,0.5617
2020-09-08,0.0437,0.114,0.2195,0.5644
2020-09-09,0.0452,0.1229,0.217,0.561
2020-09-10,0.0416,0.1193,0.2245,0.5683
2020-09-11,0.0405,0.1073,0.2216,0.571
2020-09-14,0.0411,0.1032,0.2252,0.5748
2020-09-15,0.0507,0.1039,0.22,0.5754
2020-09-16,0.0459,0.1047,0.2163,0.576
2020-09-17,0.0375,0.1114,0.2202,0.5758
2020-09-18,0.0229,0.1041,0.215,0.5754
2020-09-21,0.0298,0.1105,0.2073,0.5801
2020-09-22,0.0444,0.1042,0.205,0.581
2020-09-23,0.0502,0.1148,0.2124,0.5793
2020-09-24,0.0399,0.105,0.2227,0.5723
2020-09-25,0.0385,0.1136,0.2216,0.5689
2020-09-28,0.0334,0.1182,0.2164,0.5731
2020-09-29,0.0307,0.1287,0.2178,0.5794
2020-09-30,0.0265,0.1146,0.2154,0.5862
2020-10-01,0.0299,0.1126,0.2144,0.584
2020-10-02,0.0342,0.1099,0.2088,0.5823
2020-10-05,0.0298,0.1098,0.2187,0.5841
2020-10-06,0.0333,0.1056,0.2123,0.5877
2020-10-07,0.0402,0.1055,0.2162,0.5922
2020-10-08,0.0413,0.1164,0.1976,0.5885
2020-10-09,0.0427,0.1175,0.2056,0.5909
2020-10-12,0.025,0.1174,0.2005,0.5882
2020-10-13,0.0242,0.1221,0.1983,0.5921
2020-10-14,0.0166,0.1274,0.2007,0.5868
2020-10-15,0.0206,0.1117,0.2008,0.5871
2020-10-16,0.0164,0.1028,0.2006,0.5805
2020-10-19,0.0185,0.0962,0.2024,0.5833
2020-10-20,0.029,0.1018,0.2114,0.5965
2020-10-21,0.0266,0.104,0.2292,0.5986
2020-10-22,0.0283,0.1111,0.2267,0.5957
2020-10-23,0.0212,0.1146,0.2196,0.5794
2020-10-26,0.0258,0.116,0.2183,0.5796
2020-10-27,0.0305,0.1053,0.2248,0.5872
2020-10-28,0.0355,0.1075,0.2301,0.5862
2020-10-29,0.0437,0.1133,0.2186,0.5865
2020-10-30,0.0377,0.1152,0.2111,0.5711
2020-11-02,0.0311,0.1212,0.2072,0.5714
2020-11-03,0.0232,0.1045,0.2027,0.5654
2020-11-04,0.025,0.1166,0.2039,0.5768
2020-11-05,0.0293,0.1174,0.213,0.5948
2020-11-06,0.0248,0.126,0.2251,0.6017
2020-11-09,0.0237,0.1198,0.2297,0.5909
2020-11-10,0.0238,0.1098,0.2191,0.5817
2020-11-11,0.0416,0.1168,0.2154,0.5801
2020-11-12,0.0504,0.1124,0.2098,0.5952
2020-11-13,0.0449,0.1185,0.2047,0.5895
2020-11-16,0.0305,0.1104,0.1998,0.5906
2020-11-17,0.0136,0.1092,0.2041,0.5835
2020-11-18,0.0148,0.1138,0.2149,0.5889
2020-11-19,0.0177,0.1176,0.2146,0.5912
2020-11-20,0.0309,0.1239,0.213,0.5898
2020-11-23,0.0298,0.1206,0.2053,0.5857
2020-11-24,0.0248,0.122,0.2118,0.5807
2020-11-25,0.01,0.1167,0.2091,0.5854
2020-11-26,0.0106,0.128,0.2144,0.5777
2020-11-27,0.01,0.1177,0.2129,0.5821
2020-11-30,0.0161,0.1264,0.2173,0.5846
2020-12-01,0.0124,0.1222,0.2137,0.5953
2020-12-02,0.0171,0.1258,0.2163,0.6007
2020-12-03,0.0108,0.1308,0.2049,0.5968
2020-12-04,0.01,0.129,0.214,0.6013
2020-12-07,0.0184,0.1384,0.2128,0.6037
2020-12-08,0.0206,0.1275,0.2204,0.6065
2020-12-09,0.0223,0.1215,0.2015,0.6055
2020-12-10,0.0207,0.1157,0.1949,0.6049
2020-12-11,0.0415,0.1176,0.1974,0.6007
2020-12-14,0.0408,0.126,0.2064,0.59
2020-12-15,0.0296,0.128,0.2008,0.5886
2020-12-16,0.0166,0.1216,0.1997,0.5937
2020-12-17,0.031,0.1188,0.1954,0.6061
2020-12-18,0.0278,0.1226,0.2119,0.5996
2020-12-21,0.0244,0.1307,0.2058,0.593
2020-12-22,0.0195,0.1304,0.2094,0.5901
2020-12-23,0.0265,0.1245,0.2081,0.5946
2020-12-24,0.0257,0.1167,0.204,0.59
2020-12-25,0.021,0.1087,0.1978,0.5898
2020-12-28,0.0115,0.1022,0.1905,0.5816
2020-12-29,0.0121,0.1081,0.199,0.5865
2020-12-30,0.0113,0.1121,0.1972,0.5916
2020-12-31,0.0192,0.1182,0.1897,0.6102
2021-01-01,0.0175,0.1023,0.1895,0.6091
2021-01-04,0.0207,0.0968,0.1928,0.6014
2021-01-05,0.0248,0.1058,0.2027,0.5964
2021-01-06,0.0286,0.1185,0.1928,0.6153
2021-01-07,0.0282,0.1277,0.1959,0.6184
2021-01-08,0.0236,0.1164,0.2013,0.6197
2021-01-11,0.0234,0.1306,0.2258,0.6303
2021-01-12,0.0183,0.1292,0.2289,0.6348
2021-01-13,0.0198,0.1389,0.2407,0.6448
2021-01-14,0.0195,0.1445,0.2361,0.6335
2021-01-15,0.0338,0.154,0.2401,0.6385
2021-01-18,0.0407,0.1547,0.25,0.6383
2021-01-19,0.0433,0.1413,0.258,0.6444
2021-01-20,0.0292,0.1333,0.2622,0.6533
2021-01-21,0.016,0.1386,0.2573,0.6653
2021-01-22,0.0202,0.1423,0.2665,0.6729
2021-01-25,0.026,0.1456,0.2871,0.6767
2021-01-26,0.0341,0.1516,0.2873,0.6798
2021-01-27,0.0197,0.1528,0.2838,0.6868
2021-01-28,0.0232,0.1675,0.2805,0.6994
2021-01-29,0.0233,0.1618,0.2831,0.6913
2021-02-01,0.027,0.1749,0.2936,0.6974
2021-02-02,0.0202,0.1664,0.2967,0.6972
2021-02-03,0.0195,0.172,0.3109,0.7137
2021-02-04,0.0255,0.1607,0.3207,0.7238
2021-02-05,0.0266,0.1558,0.3225,0.7283
2021-02-08,0.0254,0.157,0.3263,0.739
2021-02-09,0.0241,0.1668,0.3271,0.7383
2021-02-10,0.0265,0.1724,0.3293,0.7396
2021-02-11,0.0346,0.1649,0.3369,0.7508
2021-02-12,0.0232,0.1544,0.3366,0.7537
2021-02-15,0.0219,0.1507,0.3452,0.7664
2021-02-16,0.0156,0.1495,0.341,0.7655
2021-02-17,0.0301,0.1581,0.3522,0.7808
2021-02-18,0.0296,0.1721,0.3598,0.7836
2021-02-19,0.0202,0.1821,0.3763,0.7914
2021-02-22,0.0209,0.1739,0.377,0.8015
2021-02-23,0.0316,0.1685,0.3828,0.8066
2021-02-24,0.0329,0.169,0.39,0.8047
2021-02-25,0.0358,0.192,0.3908,0.8008
2021-02-26,0.0258,0.1868,0.3834,0.8037
2021-03-01,0.0337,0.1893,0.3884,0.8208
2021-03-02,0.0243,0.1886,0.3931,0.8275
2021-03-03,0.0245,0.1994,0.406,0.8339
2021-03-04,0.0315,0.2054,0.4001,0.8279
2021-03-05,0.0399,0.1986,0.4091,0.8258
2021-03-08,0.0508,0.2017,0.415,0.8471
2021-03-09,0.0504,0.2039,0.4206,0.8558
2021-03-10,0.0499,0.2005,0.425,0.8607
2021-03-11,0.0502,0.2045,0.4282,0.861
2021-03-12,0.0467,0.195,0.4291,0.8673
2021-03-15,0.0492,0.2043,0.4357,0.8858
2021-03-16,0.0392,0.202,0.4371,0.8819
2021-03-17,0.0376,0.207,0.442,0.8828
2021-03-18,0.0302,0.2065,0.4478,0.8829
2021-03-19,0.0368,0.2037,0.4565,0.8806
2021-03-22,0.0312,0.2051,0.4678,0.8936
2021-03-23,0.0388,0.2046,0.4706,0.8998
2021-03-24,0.0331,0.2034,0.4728,0.9199
2021-03-25,0.045,0.2116,0.4812,0.9247
2021-03-26,0.0451,0.2089,0.492,0.9154
2021-03-29,0.0557,0.2216,0.5034,0.9175
2021-03-30,0.0537,0.2153,0.5059,0.9347
2021-03-31,0.0423,0.2194,0.5011,0.9546
2021-04-01,0.0331,0.2139,0.5087,0.9549
2021-04-02,0.0238,0.2277,0.5176,0.9481
2021-04-05,0.0297,0.2358,0.5319,0.9518
2021-04-06,0.0378,0.2391,0.5247,0.953
2021-04-07,0.047,0.2362,0.5227,0.9522
2021-04-08,0.0463,0.2252,0.5298,0.9603
2021-04-09,0.0339,0.2273,0.5411,0.9617
2021-04-12,0.0315,0.2384,0.5544,0.9694
2021-04-13,0.0291,0.2508,0.5483,0.9729
2021-04-14,0.031,0.2526,0.5455,0.9842
2021-04-15,0.0326,0.2466,0.5447,0.9958
2021-04-16,0.0447,0.2516,0.5429,0.9936
2021-04-19,0.0517,0.2449,0.5596,1.011
2021-04-20,0.0389,0.235,0.5689,1.007
2021-04-21,0.0348,0.2328,0.5716,1.0252
2021-04-22,0.0323,0.2404,0.5699,1.017
2021-04-23,0.046,0.2566,0.5619,1.0213
2021-04-26,0.0532,0.2576,0.5816,1.027
2021-04-27,0.0427,0.2527,0.5897,1.0478
2021-04-28,0.0379,0.2411,0.6054,1.0587
2021-04-29,0.033,0.2301,0.614,1.0634
2021-04-30,0.0356,0.2398,0.6218,1.0591
2021-05-03,0.0465,0.2489,0.6261,1.0641
2021-05-04,0.0456,0.2617,0.6268,1.0628
2021-05-05,0.058,0.2695,0.6235,1.0605
2021-05-06,0.0479,0.2776,0.6306,1.0632
2021-05-07,0.0504,0.2801,0.6266,1.0716
2021-05-10,0.0521,0.2677,0.6456,1.0838
2021-05-11,0.0563,0.266,0.6508,1.0957
2021-05-12,0.0536,0.2709,0.6609,1.0911
2021-05-13,0.0498,0.2843,0.6593,1.1021
2021-05-14,0.0446,0.2873,0.6589,1.102
2021-05-17,0.0433,0.2824,0.6541,1.1273
2021-05-18,0.0413,0.2921,0.66,1.1313
2021-05-19,0.0478,0.2836,0.661,1.1439
2021-05-20,0.0537,0.2944,0.6785,1.137
2021-05-21,0.0494,0.2771,0.6841,1.1396
2021-05-24,0.0475,0.2809,0.6948,1.1402
2021-05-25,0.0501,0.286,0.6929,1.1459
2021-05-26,0.0518,0.2943,0.6921,1.1482
2021-05-27,0.0486,0.3044,0.6964,1.1534
2021-05-28,0.0424,0.2992,0.7062,1.1533
2021-05-31,0.0509,0.3036,0.7182,1.1593
2021-06-01,0.0553,0.3075,0.7266,1.1552
2021-06-02,0.0638,0.3078,0.7217,1.1554
2021-06-03,0.0668,0.3022,0.7229,1.1651
2021-06-04,0.0738,0.2941,0.7253,1.1682
2021-06-07,0.0786,0.3062,0.7255,1.165
2021-06-08,0.0889,0.3198,0.7267,1.1703
2021-06-09,0.0866,0.3188,0.7185,1.1746
2021-06-10,0.0767,0.3151,0.7264,1.1825
2021-06-11,0.0759,0.313,0.7222,1.1762
2021-06-14,0.0834,0.3272,0.7277,1.181
2021-06-15,0.0968,0.3266,0.7399,1.1713
2021-06-16,0.0982,0.3291,0.7392,1.1663
2021-06-17,0.0954,0.3301,0.7354,1.1544
2021-06-18,0.0915,0.3435,0.7208,1.1737
2021-06-21,0.0856,0.3589,0.7392,1.1652
2021-06-22,0.0926,0.3646,0.7439,1.1675
2021-06-23,0.1039,0.3615,0.7514,1.1496
2021-06-24,0.1175,0.3609,0.7419,1.1495
2021-06-25,0.1257,0.3602,0.7407,1.161
2021-06-28,0.1251,0.3647,0.7431,1.1766
2021-06-29,0.1139,0.362,0.7585,1.1812
2021-06-30,0.1156,0.3656,0.7714,1.1673
2021-07-01,0.1232,0.3683,0.7694,1.1434
2021-07-02,0.14,0.3765,0.7615,1.1441
2021-07-05,0.1519,0.3915,0.7538,1.1474
2021-07-06,0.1579,0.3922,0.7504,1.1548
2021-07-07,0.1623,0.3942,0.7534,1.1566
2021-07-08,0.1628,0.3922,0.7645,1.1596
2021-07-09,0.1677,0.4046,0.7797,1.1639
2021-07-12,0.169,0.4126,0.7757,1.1596
2021-07-13,0.1699,0.4091,0.7702,1.1516
2021-07-14,0.1711,0.4038,0.7699,1.1527
2021-07-15,0.1816,0.4068,0.7754,1.1538
2021-07-16,0.1834,0.4219,0.7754,1.1632
2021-07-19,0.1938,0.4254,0.767,1.1622
2021-07-20,0.1912,0.4297,0.7667,1.1545
2021-07-21,0.1955,0.4332,0.7752,1.1423
2021-07-22,0.1999,0.4463,0.7785,1.1341
2021-07-23,0.1942,0.45,0.7823,1.1354
2021-07-26,0.197,0.4487,0.782,1.1447
2021-07-27,0.1883,0.4516,0.7929,1.1497
2021-07-28,0.1895,0.4435,0.7952,1.1599
2021-07-29,0.1955,0.438,0.7912,1.1575
2021-07-30,0.2096,0.4461,0.7805,1.1563
2021-08-02,0.2285,0.4575,0.7769,1.1551
2021-08-03,0.2358,0.4696,0.786,1.155
2021-08-04,0.2404,0.4607,0.7925,1.1537
2021-08-05,0.2513,0.4613,0.7929,1.1546
2021-08-06,0.2529,0.4655,0.7805,1.1523
2021-08-09,0.2629,0.477,0.7954,1.1488
2021-08-10,0.2596,0.4886,0.8041,1.1366
2021-08-11,0.2587,0.4945,0.8182,1.139
2021-08-12,0.2518,0.5025,0.8154,1.1462
2021-08-13,0.2469,0.5045,0.8153,1.1496
2021-08-16,0.2553,0.5183,0.8137,1.1509
2021-08-17,0.2594,0.5141,0.8092,1.1344
2021-08-18,0.2737,0.5154,0.8053,1.1338
2021-08-19,0.2896,0.5159,0.8209,1.1265
2021-08-20,0.2874,0.5303,0.8256,1.1322
2021-08-23,0.294,0.5317,0.8289,1.1427
2021-08-24,0.2831,0.5272,0.8192,1.1421
2021-08-25,0.2953,0.5304,0.8125,1.1431
2021-08-26,0.2956,0.5427,0.8235,1.1308
2021-08-27,0.2945,0.548,0.819,1.1205
2021-08-30,0.3055,0.5483,0.83,1.1171
2021-08-31,0.306,0.5466,0.829,1.1214
2021-09-01,0.3154,0.5498,0.8353,1.1277
2021-09-02,0.3083,0.5524,0.8344,1.1268
2021-09-03,0.311,0.5568,0.8303,1.1279
2021-09-06,0.3244,0.5639,0.8316,1.1361
2021-09-07,0.3317,0.5645,0.8293,1.1423
2021-09-08,0.3396,0.5702,0.8282,1.1329
2021-09-09,0.3421,0.5871,0.837,1.1245
2021-09-10,0.3526,0.5843,0.8405,1.1173
2021-09-13,0.3579,0.5915,0.8423,1.113
2021-09-14,0.3516,0.5758,0.8334,1.1084
2021-09-15,0.3532,0.5903,0.8406,1.1088
2021-09-16,0.3562,0.5917,0.8491,1.108
2021-09-17,0.372,0.602,0.8556,1.1049
2021-09-20,0.3773,0.6132,0.8523,1.1074
2021-09-21,0.3812,0.6167,0.8529,1.1132
2021-09-22,0.3803,0.6212,0.848,1.129
2021-09-23,0.391,0.6064,0.8492,1.124
2021-09-24,0.4049,0.6161,0.8523,1.1238
2021-09-27,0.4122,0.6205,0.8633,1.1152
2021-09-28,0.4062,0.6404,0.8609,1.1167
2021-09-29,0.4041,0.629,0.8529,1.1184
2021-09-30,0.4024,0.6257,0.8502,1.1202
2021-10-01,0.4062,0.6238,0.8649,1.1226
2021-10-04,0.4093,0.638,0.863,1.1159
2021-10-05,0.418,0.6463,0.865,1.1097
2021-10-06,0.4151,0.6537,0.8507,1.1007
2021-10-07,0.4102,0.6477,0.8582,1.0974
2021-10-08,0.4011,0.6539,0.8562,1.0955
2021-10-11,0.4084,0.6567,0.8644,1.0951
2021-10-12,0.4169,0.6673,0.866,1.1008
2021-10-13,0.4287,0.6578,0.869,1.1093
2021-10-14,0.4469,0.663,0.8696,1.1099
2021-10-15,0.4576,0.6547,0.8661,1.1085
2021-10-18,0.463,0.6735,0.8734,1.0958
2021-10-19,0.4579,0.6662,0.881,1.0982
2021-10-20,0.4533,0.6813,0.8937,1.0928
2021-10-21,0.4595,0.6802,0.8832,1.1004
2021-10-22,0.4616,0.6962,0.8821,1.098
2021-10-25,0.4754,0.7033,0.8847,1.1049
2021-10-26,0.4781,0.7031,0.8884,1.1001
2021-10-27,0.4854,0.6975,0.8881,1.0997
2021-10-28,0.4794,0.7075,0.8853,1.0878
2021-10-29,0.4841,0.7163,0.9008,1.0898
2021-11-01,0.5004,0.7252,0.9138,1.0959
2021-11-02,0.5101,0.7203,0.9072,1.103
2021-11-03,0.5202,0.7126,0.9116,1.1123
2021-11-04,0.5105,0.7192,0.8986,1.1145
2021-11-05,0.5152,0.7143,0.913,1.111
2021-11-08,0.5165,0.7341,0.9088,1.0966
2021-11-09,0.5181,0.7355,0.9095,1.0912
2021-11-10,0.5141,0.759,0.9082,1.088
2021-11-11,0.5195,0.7524,0.904,1.0949
2021-11-12,0.519,0.754,0.9129,1.0938
2021-11-15,0.5349,0.7593,0.915,1.0977
2021-11-16,0.5411,0.7735,0.9227,1.0947
2021-11-17,0.55,0.7732,0.9214,1.101
2021-11-18,0.5482,0.7681,0.9206,1.1
2021-11-19,0.5479,0.7649,0.9212,1.0955
2021-11-22,0.5532,0.7779,0.9272,1.0928
2021-11-23,0.5622,0.7761,0.9329,1.0962
2021-11-24,0.5537,0.7783,0.9252,1.0946
2021-11-25,0.5565,0.7717,0.9182,1.0865
2021-11-26,0.5447,0.7786,0.9129,1.0821
2021-11-29,0.5551,0.7895,0.9165,1.0839
2021-11-30,0.5665,0.7991,0.9268,1.0765
2021-12-01,0.5838,0.793,0.9357,1.0673
2021-12-02,0.5959,0.7994,0.9411,1.0623
2021-12-03,0.5897,0.806,0.9473,1.0655
2021-12-06,0.595,0.8213,0.9584,1.0736
2021-12-07,0.604,0.8186,0.9634,1.0824
2021-12-08,0.6318,0.8129,0.9552,1.0876
2021-12-09,0.657,0.8151,0.9592,1.093
2021-12-10,0.6651,0.8174,0.9607,1.0849
2021-12-13,0.6799,0.842,0.9746,1.0871
2021-12-14,0.6781,0.8475,0.968,1.0903
2021-12-15,0.6876,0.8571,0.9669,1.1006
2021-12-16,0.6939,0.8519,0.962,1.1005
2021-12-17,0.7095,0.8599,0.9699,1.0996
2021-12-20,0.7395,0.8669,0.9795,1.1112
2021-12-21,0.7489,0.8776,1.0052,1.116
2021-12-22,0.7608,0.8773,0.9996,1.1129
2021-12-23,0.7616,0.8738,1.0002,1.1022
2021-12-24,0.7726,0.8662,0.9905,1.104
2021-12-27,0.8019,0.8771,1.0127,1.1104
2021-12-28,0.8087,0.8824,1.0223,1.1123
2021-12-29,0.8079,0.895,1.0257,1.1058
2021-12-30,0.8147,0.8989,1.0118,1.103
2021-12-31,0.8267,0.9207,1.0112,1.1036
2022-01-03,0.8627,0.9209,1.012,1.1136
2022-01-04,0.8626,0.9312,1.0183,1.1226
